Frame,Landmark,X,Y,Z,Visibility,Left Varus Angle,Right Varus Angle
0,0,0.5040278434753418,0.31468337774276733,-0.40569519996643066,0.9999903440475464,-35.71537074651229,-35.996982464332746
0,1,0.5162360072135925,0.3046676814556122,-0.37324589490890503,0.9999802112579346,-35.71537074651229,-35.996982464332746
0,2,0.5230462551116943,0.30475521087646484,-0.37337201833724976,0.999974250793457,-35.71537074651229,-35.996982464332746
0,3,0.5294440984725952,0.3047793507575989,-0.37354567646980286,0.9999732971191406,-35.71537074651229,-35.996982464332746
0,4,0.4909087121486664,0.30436232686042786,-0.3711155951023102,0.9999773502349854,-35.71537074651229,-35.996982464332746
0,5,0.48262539505958557,0.304288387298584,-0.3710819184780121,0.9999690055847168,-35.71537074651229,-35.996982464332746
0,6,0.4747660756111145,0.30409425497055054,-0.37106451392173767,0.9999707937240601,-35.71537074651229,-35.996982464332746
0,7,0.5378650426864624,0.3097127079963684,-0.16645443439483643,0.9999707937240601,-35.71537074651229,-35.996982464332746
0,8,0.46271222829818726,0.30809757113456726,-0.15226039290428162,0.9999735355377197,-35.71537074651229,-35.996982464332746
0,9,0.5177744626998901,0.32757505774497986,-0.32649582624435425,0.9999825954437256,-35.71537074651229,-35.996982464332746
0,10,0.4870602786540985,0.3282921612262726,-0.3223980963230133,0.999983549118042,-35.71537074651229,-35.996982464332746
0,11,0.6122364401817322,0.3756698966026306,-0.02470196783542633,0.9999403953552246,-35.71537074651229,-35.996982464332746
0,12,0.38844966888427734,0.37722042202949524,-0.026885509490966797,0.9999188184738159,-35.71537074651229,-35.996982464332746
0,13,0.7065069079399109,0.4433141350746155,-0.20937050879001617,0.992401123046875,-35.71537074651229,-35.996982464332746
0,14,0.2853807806968689,0.44618603587150574,-0.12663665413856506,0.9946739673614502,-35.71537074651229,-35.996982464332746
0,15,0.7862679958343506,0.3799505829811096,-0.5481806993484497,0.9921867847442627,-35.71537074651229,-35.996982464332746
0,16,0.2022063136100769,0.3794540762901306,-0.40692970156669617,0.9967137575149536,-35.71537074651229,-35.996982464332746
0,17,0.8076927661895752,0.3670620322227478,-0.5974134206771851,0.9740273356437683,-35.71537074651229,-35.996982464332746
0,18,0.17685216665267944,0.3688487410545349,-0.4529942274093628,0.9879196882247925,-35.71537074651229,-35.996982464332746
0,19,0.795948326587677,0.35639989376068115,-0.5927173495292664,0.9723715782165527,-35.71537074651229,-35.996982464332746
0,20,0.19145971536636353,0.3596170246601105,-0.46463721990585327,0.9875691533088684,-35.71537074651229,-35.996982464332746
0,21,0.7851390242576599,0.3596961200237274,-0.5569521188735962,0.9686753153800964,-35.71537074651229,-35.996982464332746
0,22,0.20306992530822754,0.36334478855133057,-0.4207732081413269,0.9848537445068359,-35.71537074651229,-35.996982464332746
